© 2000-2020 QIAGEN. All rights reserved.

Analysis Details for My Projects->AlexC->MockvVirus_DEP - 2020-10-08 04:50 PM
Workspace	My Projects
Project	AlexC
Analysis	MockvVirus_DEP - 2020-10-08 04:50 PM
Date	Wed Oct 07 22:44:01 PDT 2020
Analysis ID	19812273

Analysis Settings
Cutoff before duplicate resolution	true
Resolve duplicate on	Expression logfoldchange
Color using	Expression logfoldchange
Cutoff for Expression logfoldchange	down regulated -0.267 and up regulated 0.267
Cutoff for Expression pvalue	0.05
Reference set	Ingenuity Knowledge Base (Genes Only)
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	Yes
Optional Analyses	My Pathways My List
Filter Summary	
Consider only molecules and/or relationships where
(confidence = Experimentally Observed) AND
(mol. types = biologic drug OR canonical pathway OR chemical - endogenous mammalian OR chemical - endogenous non-mammalian OR chemical - kinase inhibitor OR chemical - other OR chemical - protease inhibitor OR chemical drug OR chemical reagent OR chemical toxicant OR complex OR cytokine OR disease OR enzyme OR function OR fusion gene/product OR G-protein coupled receptor OR group OR growth factor OR ion channel OR kinase OR ligand-dependent nuclear receptor OR mature microRNA OR microRNA OR other OR peptidase OR phosphatase OR transcription regulator OR translation regulator OR transmembrane receptor OR transporter)

Canonical Pathways for My Projects->AlexC->MockvVirus_DEP - 2020-10-08 04:50 PM
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
HABP2	peptidase	 	3	 	 	-0.169	2.01E-07	6.00E-04	AR,ARRB1,ATF4,BMP2,CEBPB,CREBBP,EGFR,EIF4E,ERK1/2,ERN1,ESR1,GATA1,GSK3B,HABP2,HIF1A,MKNK1,MMP3,MYC,NFE2L2,NR1I3,p70 S6k,PGR,PPARA,PPARG,RAF1,RB1,RELA,RUNX2,TP53	ATP6V1F,CASP3,COG7,CORO7/CORO7-PAM16,COX5B,CPNE1,CSNK2B,CSTF3,DYNLT1,EIF3D,EIF3G,ENAH,EPS15,ERLEC1,GNAQ,HMGCL,HSPA2,IPO5,KYAT3,LARS1,MACROH2A2,MYCBP,NIT1,NPEPPS,NUCKS1,OAS2,PABPC4,PCMT1,PLS1,RANBP2,RBM8A,RPS12,S100A6,SH3GLB1,SNRPD1	35 (29)	26	 	leupeptin	 	 	 	 	 	 	 	
Igf	group	 	3	 	 	1.265	2.44E-07	1.40E-03	Akt,APP,AR,BAD,CEBPB,CSF2,EGFR,EPAS1,ERK1/2,ESR1,FOXO3,HIF1A,HSF1,Igf,IGF1,IGF1R,KLF4,KRAS,Mapk,MAPK1,MYC,NEDD9,NFE2L2,NR1I3,PGR,POU5F1,PPARA,PPARGC1A,PTEN,RAF1,RB1,RICTOR,RPS6KB1,TCF3,WBP2	ADD3,BID,CASP3,CLIC1,COG7,CORO7/CORO7-PAM16,CPNE1,CSTF3,DFFA,DYNLT1,EIF3D,EIF3G,ENAH,EPS15,GNAQ,HMGCL,HSPA2,KYAT3,LARS1,MANF,MECP2,NIT1,NUCKS1,NUDT21,OAS2,PCMT1,PDAP1,PLS1,PML,PSMC2,RANBP2,RBBP9,S100A6,SCIN,SEPTIN2,SNRPD1,SPA17,TCP1,TUBA4A,UBA1	40 (35)	30	 	 	 	EGFR,EGFR/PDGFR/IGFR,Mapk,RPS6KB1	 	 	 	 	 	
SMG1	kinase	 	3	 	 	-0.316	2.44E-07	1.40E-03	AR,ARRB1,CEBPB,CREBBP,EGFR,ERBB2,ERK1/2,ESR1,FOXO3,GATA1,GLI1,GSK3B,HIF1A,HSF1,MAPK3,mir-145,MYC,NFE2L2,NR1I3,PPARA,PTEN,RAF1,RB1,SMG1,TP53,VEGFA,XBP1	ADD3,ATP6V1F,CASP3,COG7,CORO7/CORO7-PAM16,COX5B,CPNE1,CSTF3,DFFA,DYNLT1,EIF3D,EIF3G,ENAH,EPS15,ERLEC1,FAM120A,GNAQ,HADHB,HMGCL,IPO5,KYAT3,LARS1,MACROH2A2,MANF,MYCBP,NIT1,NPEPPS,NUCKS1,NUDT21,PCMT1,PLS1,PML,PRDX2,RANBP2,RPS12,S100A6,SH3GLB1,SNRPD1,TCP1,UBA1	40 (27)	25	 	 	 	EIF4EBP1	 	 	 	 	 	
COL4A2	other	 	3	 	 	-0.962	2.67E-07	4.00E-04	CASP8,COL4A2,ESR1,Focal adhesion kinase,FOXO3,GSK3B,HIF1A,HSF1,MAPK1,MTOR,MYC,NR3C1,p70 S6k,RET,RICTOR	AKAP9,ATP6V1F,BID,CASP3,COG7,COX5B,CPNE1,EIF3D,EIF3G,ENAH,HMGCL,LARS1,MANF,MBP,MECP2,MLF1,NUCKS1,NUDT21,PABPC4,PLS1,PSMC2,RANBP2,SCIN,SH3GLB1,SNRPD1,TCP1,TUBA4A	27 (15)	13	ADAM12,EGF,FGFR2	FOXO3,FOXO4,let-7a-5p (and other miRNAs w/seed GAGGUAG),mir-210,MYC	 	 	EIF4EBP1,MTOR	 	 	 	 	
4-oxo-2-nonenal	chemical toxicant	 	3	 	 	0.333	3.01E-07	7.00E-04	26s Proteasome,4-oxo-2-nonenal,ATM,beta-estradiol,E2F1,ELF4,ERN1,FOXO3,GLI1,GSK3B,HIF1A,HSF1,Hsp90,mir-145,NFAT5,ODC1,PGR,PPARA,PTEN,RAF1,RET,STK11,tamoxifen,TP53	ADD3,AKAP9,ALCAM,ATP6V1F,BID,CASP3,CLIC1,CSNK2B,CSTF3,DFFA,EIF3D,EIF3G,ERLEC1,FAM120A,GNAQ,HADHB,HMGCL,HSPA2,IFT140,KYAT3,LARS1,MACROH2A2,MANF,MLF1,MYCBP,NPEPPS,NUCKS1,PDAP1,PML,PRDX2,PSMC2,RPS12,SH3GLB1,SNRPD1,TCP1,UBA1	36 (24)	21	 	 	 	 	26s Proteasome,STK11	 	 	 	 	
RLN2	other	 	3	 	 	0.160	3.01E-07	1.90E-03	ADCY,APP,ARRB1,CEBPB,CREBBP,CSF2,CXCL8,EGFR,ERK1/2,ESR1,FOXO3,GATA1,HIF1A,HSF1,IRF4,KLF4,MAPK1,MAPK3,MKNK1,MYC,NFE2L2,NFkB (complex),NFKB1,NR1I3,p70 S6k,PGR,POU5F1,PPARA,PPARG,RAF1,RARA,RLN2,SMAD2,STK11,TCF3,TGFB1,TP53,XBP1	ATP6V1F,BID,CLIC1,COG7,CORO7/CORO7-PAM16,COX5B,CPNE1,DFFA,DYNLT1,EIF3D,EIF3G,ENAH,EPS15,ERLEC1,GNAQ,HMGCL,HSPA2,IPO5,KYAT3,LARS1,MACROH2A2,MANF,MECP2,MTPN,MYCBP,NIT1,NPEPPS,NUCKS1,NUDT21,OAS2,PABPC4,PLS1,PML,RANBP2,RBBP9,RPS12,S100A6,SNRPD1,TCP1	39 (38)	33	 	 	 	FOS,MMP13,MMP3	 	 	 	 	 	
ICL1-9	chemical reagent	 	3	 	 	-0.324	3.09E-07	1.50E-03	ADRB2,AR,ARRB1,BCL6,CEBPB,CREBBP,CTNNB1,EGFR,ERK1/2,ESR1,FOXO3,GATA1,GSK3B,HIF1A,ICL1-9,KRAS,MITF,MKNK1,MYC,NEDD9,NFE2L2,NR1I3,ODC1,p70 S6k,PGR,PPARA,PPARG,STAT6,TCF3,TP53,WBP2	ALCAM,CASP3,COG7,CORO7/CORO7-PAM16,COX5B,CPNE1,CSNK2B,DYNLT1,EIF3D,EIF3G,ENAH,EPS15,GNAQ,HMGCL,HSPA2,IPO5,KYAT3,LARS1,MACROH2A2,MANF,MBP,MYCBP,NPEPPS,NUCKS1,NUDT21,PABPC4,PCMT1,PDAP1,PLS1,RANBP2,RPS12,S100A6,SEPTIN2,SH3GLB1,SPA17,TCP1,TUBA4A,UBA1	38 (31)	29	 	 	 	EGFR	 	 	 	 	 	
Mir122a,b	group	 	3	 	 	-1.298	3.16E-07	1.50E-03	CASP3,E2F1,EGFR,ERBB2,ESR1,FOXO3,GLI1,GSK3B,HIF1A,IGF1R,mir-122,mir-145,Mir122a,b,MYC,NR3C1,PGR,PTEN,RAF1,RB1,RELA,TP53	ADD3,ATP6V1F,BID,CASP3,CLIC1,COG7,COX5B,CPNE1,CSTF3,DFFA,EIF3D,EIF3G,EPS15,FAM120A,GNAQ,HADHB,HMGCL,HSPA2,LARS1,MACROH2A2,MANF,MLF1,NIT1,NPEPPS,NUCKS1,NUDT21,OAS2,PLS1,PML,PRDX2,RANBP2,RPS12,SCIN,SEPTIN2,SH3GLB1,SNRPD1,TNPO2,UBA1	38 (21)	18	 	MYC	 	CD69,IFNG	ADAM10	 	 	 	 	
ERBB	group	 	3	 	 	-0.973	3.25E-07	1.00E-03	26s Proteasome,APP,AR,CEBPB,CREBBP,EGFR,ERBB,ERBB2,ERBB3,ERBB4,ERK1/2,ESR1,GATA1,GSK3B,HIF1A,KRAS,LCK,MAPK1,Mek,MKNK1,MYC,NEDD9,NFE2L2,NR1I3,ODC1,p70 S6k,PGR,PI3K (complex),PPARA,Raf,RAF1,RAS,RASSF5,RICTOR,SP1,SRC (family),tamoxifen,TCF3,TCF7L2,WBP2	BID,CASP3,CLIC1,COG7,CORO7/CORO7-PAM16,COX5B,CPNE1,CSNK2B,DYNLT1,EIF3D,EIF3G,EPS15,HMGCL,HSPA2,IFT140,IPO5,KYAT3,MANF,MBP,MECP2,MYCBP,NUCKS1,NUDT21,PABPC4,PCMT1,PDAP1,PML,PRDX2,PSMC2,RANBP2,S100A6,SEPTIN2,SH3GLB1,SNRPD1,SPA17,TCP1,TUBA4A,UBA1	38 (40)	35	EGF,EREG,NDST1	dacomitinib	 	EGFR,PI3K (complex)	 	 	 	 	 	
SNCAIP	transcription regulator	 	3	 	 	1.622	3.25E-07	1.70E-03	26s Proteasome,beta-estradiol,CASP3,CTNNB1,DCC,E2F1,EGFR,ERBB2,ERN1,ESR1,FOXO3,HIF1A,HNF4A,mir-145,ODC1,PTEN,RB1,SNCA,SNCAIP,tamoxifen,TP53	ADD3,ALCAM,BID,CASP3,CLIC1,COG7,CPNE1,CSNK2B,CSTF3,DFFA,EIF3D,EIF3G,ENAH,EPS15,ERLEC1,FAM120A,GNAQ,HADHB,HMGCL,IFT140,LARS1,MACROH2A2,MANF,MBP,MLF1,MYCBP,NIT1,NPEPPS,NUCKS1,PDAP1,PLS1,PML,PRDX2,PSMC2,RANBP2,RPS12,SCIN,UBA1	38 (21)	19	Ck2	PRKN	 	DCC	26s Proteasome	 	 	 	 	
CRK-CRKL-CBL	complex	 	3	 	 	0.000	3.30E-07	1.00E-03	26s Proteasome,AR,CBLC,CCND1,CEBPB,CRK,CRK-CRKL-CBL,CRKL,CTNNB1,EGFR,ESR1,FOXO3,GSK3B,HIF1A,KRAS,MAPK1,MYC,NFE2L2,p70 S6k,PI3K (complex),PIK3CA,RB1,RET,SP1	ADD3,AKAP9,ALCAM,ATP6V1F,COG7,COX5B,CPNE1,DYNLT1,EIF3D,EIF3G,EPS15,FAM120A,GNAQ,HMGCL,LARS1,MANF,MECP2,MLF1,MYCBP,NIT1,NUCKS1,NUDT21,PABPC4,PCMT1,PLS1,PRDX2,PSMC2,RANBP2,RPS12,SCIN,SH3GLB1,SNRPD1,TCP1,TUBA4A	34 (24)	20	 	 	 	PI3K (complex)	 	 	 	 	 	
K252b	chemical - kinase inhibitor	 	3	 	 	0.000	3.43E-07	1.40E-03	APP,BDNF,CTNNB1,EGFR,EGLN,ESR1,GSK3B,HIF1A,IGF1R,IRAK1,K252b,KRAS,LCK,MAPK1,MYC,NEDD9,Neurotrophin,NFE2L2,NR1I3,NR3C1,ODC1,p70 S6k,Pdgfr,PIK3CA,Pkc(s),PPARA,PRKCI,RAF1,RB1,SHC1,SP1,STAT6,TP53,WBP2	ALCAM,ATP6V1F,CASP3,CLIC1,COG7,CORO7/CORO7-PAM16,COX5B,CPNE1,CSNK2B,EIF3D,EIF3G,EPS15,GNAQ,HMGCL,KYAT3,MACROH2A2,MBP,MECP2,MLF1,NIT1,NPEPPS,NUCKS1,NUDT21,PABPC4,PDAP1,PLS1,RANBP2,RPS12,SCIN,SEPTIN2,SH3GLB1,SNRPD1,SPA17,TCP1,TUBA4A,UBA1	36 (34)	27	 	 	 	 	EGFR	 	 	 	 	
JAK1/2	group	 	3	 	 	-0.493	3.46E-07	1.60E-03	26s Proteasome,AR,CCND1,CEBPB,EGFR,ERBB2,ESR1,FOXO3,HIF1A,IL10RA,JAK1,JAK1/2,JAK2,KRAS,mir-21,MKNK1,MYC,NFE2L2,NFKBIA,p70 S6k,PI3K (complex),RAF1,RB1,RUNX2,SP1,STAT1,STAT3	ADD3,ATP6V1F,BID,CASP3,CKAP5,COG7,COX5B,CPNE1,CSNK2B,DYNLT1,EIF3D,EIF3G,EPS15,FAM120A,GNAQ,HMGCL,HSPA2,LARS1,MANF,MLF1,MYCBP,NIT1,NUDT21,OAS2,PABPC4,PCMT1,PML,PRDX2,PSMC2,RANBP2,RPS12,SCIN,SEPTIN2,SNRPD1,TCP1,TUBA4A,UBA1	37 (27)	25	 	 	 	BAIAP2,CD69,IRF1,PI3K (complex)	 	 	 	 	 	
DGKD	kinase	 	3	 	 	-0.343	3.50E-07	2.00E-04	Akt,AKT1,APP,AR,CEBPB,CLOCK,CREBBP,DGKD,EGFR,ERK1/2,ESR1,FOXO3,HIF1A,HSF1,KRAS,NEDD9,NFE2L2,NR3C1,ODC1,PDX1,POU5F1,PPARA,PPARG,PPARGC1A,RB1,RET,RUNX2,SOX2,STAT6,TSC2,WBP2	AKAP9,BID,CASP3,CLIC1,COG7,CPNE1,CSNK2B,DFFA,DYNLT1,EIF3G,EPS15,HADHB,HMGCL,KYAT3,LARS1,MANF,MBP,MLF1,MTPN,MYCBP,NIT1,NPEPPS,NUCKS1,PCMT1,PDAP1,PLS1,RANBP2,S100A6,SCIN,SEPTIN2,SPA17,TCP1,TUBA4A,UBA1	34 (31)	29	EGF	 	 	EGFR	 	 	 	 	 	
GALNT2	enzyme	 	3	 	 	-0.164	3.60E-07	2.00E-03	AR,BCL6,CEBPB,Clathrin,CREBBP,CTNNB1,EGFR,ERK1/2,ESR1,Focal adhesion kinase,FOXO3,GALNT2,GATA1,GSK3B,HIF1A,IRF4,KRAS,MAPK1,MITF,MKNK1,MYC,NEDD9,NFE2L2,NR1I3,ODC1,p70 S6k,PGR,PIK3CA,PPARA,RAF1,RB1,RET,Shc,SP1,SRC,TCF3,WBP2	AKAP9,ALCAM,ATP6V1F,CASP3,CKAP5,COG7,CORO7/CORO7-PAM16,COX5B,CPNE1,CSNK2B,DYNLT1,EIF3D,EIF3G,EPS15,HMGCL,HSPA2,IPO5,KYAT3,LARS1,MANF,MBP,MECP2,MYCBP,NIT1,NUCKS1,NUDT21,PABPC4,PCMT1,PDAP1,S100A6,SEPTIN2,SH3GLB1,SNRPD1,SPA17,TCP1,TUBA4A,UBA1	37 (37)	33	 	 	 	 	EGFR	 	 	 	 	
acridine yellow	chemical reagent	 	3	 	 	0.493	3.84E-07	1.10E-03	26s Proteasome,acridine yellow,APP,CHUK,CLOCK,EGFR,EGLN,FOXO3,GSK3B,HIF1A,LCK,MAPK1,MYC,NEDD9,NFE2L2,NR1I3,ODC1,p70 S6k,PGR,PKC alpha/beta,Pkc(s),PPARA,PRKCA,PRKCB,PRKCI,RAF1,RARA,RB1,SP1,STAT6,TP53,VEGFA,WBP2	ATP6V1F,CASP3,CLIC1,CORO7/CORO7-PAM16,COX5B,CSNK2B,EIF3D,EIF3G,ENAH,EPS15,GNAQ,HMGCL,HSPA2,KYAT3,LARS1,MACROH2A2,MBP,MECP2,MLF1,MTPN,MYCBP,NIT1,NPEPPS,NUCKS1,NUDT21,PABPC4,PDAP1,PLS1,PSMC2,RANBP2,RPS12,SEPTIN2,SH3GLB1,SNRPD1,SPA17,TUBA4A,UBA1	37 (33)	28	 	 	 	 	EGFR	 	 	 	 	
NGEF	other	 	3	 	 	-1.460	4.02E-07	6.00E-04	CDC42,CHUK,CTNNB1,EGFR,ESR1,GJA1,HIF1A,JUN,MAP2K1,MYC,NFAT5,NGEF,NR3C2,Pak,Rac,RAC1,RB1,RHOA,TCF4	ALCAM,ATP6V1F,BID,CASP3,COG7,COX5B,CPNE1,EIF3D,EIF3G,ENAH,EPS15,HMGCL,HSPA2,MANF,MBP,MLF1,NIT1,NUCKS1,NUDT21,PLS1,RANBP2,SCIN,SH3GLB1	23 (19)	15	FGFR2	 	 	 	 	 	 	 	 	
FGF3	growth factor	 	3	 	 	0.949	4.17E-07	2.20E-03	CEBPB,CREBBP,EGFR,ERBB2,ESR1,FGF3,Fgfr,FGFR1,FOXO3,HIF1A,HSF1,KLF4,KRAS,MAPK1,MAPK3,MYC,NFE2L2,NR3C1,p70 S6k,POU5F1,RAF1,RAS,RASSF5,RB1,Rsk,RUNX2,TP53,XBP1	ADD3,ATP6V1F,BID,CASP3,COG7,COX5B,CPNE1,CSNK2B,DYNLT1,EIF3D,EIF3G,EPS15,ERLEC1,FAM120A,GNAQ,HADHB,HMGCL,LARS1,MACROH2A2,MANF,MBP,MECP2,MLF1,MYCBP,NIT1,NPEPPS,NUCKS1,NUDT21,OAS2,PABPC4,PCMT1,PLS1,PRDX2,RANBP2,RPS12,SCIN,SNRPD1,TCP1,TUBA4A,UBA1	40 (28)	23	GATA3,tretinoin	SOX2	 	 	 	 	 	 	 	
CCS1477	chemical drug	 	3	 	 	0.686	4.28E-07	9.00E-04	AR,BCL6,CCS1477,CREBBP,EP300,ESR1,FOXM1,GATA1,GATA4,HIF1A,HNF4A,MYC,MYOD1,NFE2L2,NR3C1,NR3C2,PDX1,PPARA,RB1,SP1,STAT3,TFAP2A,TP53,XBP1	ALCAM,ATP6V1F,COG7,COX5B,CPNE1,CSNK2B,EIF3D,EIF3G,ENAH,ERLEC1,FAM120A,GNAQ,HMGCL,IPO5,KYAT3,MACROH2A2,MANF,MECP2,MYCBP,NIT1,NUCKS1,NUDT21,PCMT1,PLS1,PML,PRDX2,RANBP2,RPS12,S100A6,SCIN,SH3GLB1,SNRPD1,TUBA4A,UBA1	34 (24)	22	 	 	 	 	CREBBP,EP300	 	 	 	 	
EID1	transcription regulator	 	3	 	 	0.686	4.28E-07	9.00E-04	AR,BCL6,CREBBP,EID1,EP300,ESR1,FOXM1,GATA1,GATA4,HIF1A,HNF4A,MYC,MYOD1,NFE2L2,NR3C1,NR3C2,PDX1,PPARA,RB1,SP1,STAT3,TFAP2A,TP53,XBP1	ALCAM,ATP6V1F,COG7,COX5B,CPNE1,CSNK2B,EIF3D,EIF3G,ENAH,ERLEC1,FAM120A,GNAQ,HMGCL,IPO5,KYAT3,MACROH2A2,MANF,MECP2,MYCBP,NIT1,NUCKS1,NUDT21,PCMT1,PLS1,PML,PRDX2,RANBP2,RPS12,S100A6,SCIN,SH3GLB1,SNRPD1,TUBA4A,UBA1	34 (24)	22	 	ING1	 	 	CREBBP,EP300	 	 	 	 	
IP6K2	kinase	 	3	 	 	0.000	4.32E-07	1.20E-03	Akt,AKT1,AR,CASP8,CEBPB,CLOCK,CREBBP,E2F1,ESR1,FOXO3,HIF1A,HSF1,IP6K2,MAP3K7,NFE2L2,NR3C1,PDX1,PPARGC1A,RB1,RET,RUNX2,SMARCA4,SOX2,STK11,TP53	ABRACL,ADD3,AKAP9,ALCAM,ATP6V1F,BID,CASP3,CLIC1,COG7,CPNE1,CSNK2B,DYNLT1,EIF3G,FAM120A,GNAQ,HADHB,HMGCL,KYAT3,LARS1,MACROH2A2,MANF,MLF1,MTPN,MYCBP,NIT1,NPEPPS,NUCKS1,OAS2,PCMT1,PLS1,PML,PRDX2,RANBP2,RPS12,SCIN,SEPTIN2,TCP1,UBA1	38 (25)	23	Ck2	 	 	 	STK11	 	 	 	 	
CD79B	transmembrane receptor	 	3	 	 	0.493	4.32E-07	1.60E-03	26s Proteasome,APP,AR,CD79A,CD79B,CEBPB,CREBBP,EGFR,ESR1,FOXO3,HIF1A,HSF1,IKZF1,KLF4,KRAS,LCK,MAPK1,MAPK3,MKNK1,MYC,NFE2L2,NR3C1,p70 S6k,PI3K (complex),POU5F1,PPARG,RAF1,RB1,SYK,TP53,tubulin (complex),XBP1	ACP1,ATP6V1F,CLIC1,COG7,COX5B,CPNE1,CSNK2B,DFFA,DYNLT1,EIF3D,EIF3G,EPS15,ERLEC1,GNAQ,HMGCL,HSPA2,LARS1,MACROH2A2,MANF,MECP2,MLF1,MYCBP,NIT1,NPEPPS,NUCKS1,NUDT21,PABPC4,PCMT1,PLS1,PML,PRDX2,PSMC2,RANBP2,RPS12,SCIN,SNRPD1,TCP1	37 (32)	28	BCL6,ST6GAL1,TCF3	 	 	IGHM,PI3K (complex)	 	 	 	 	 	
NRP2-PLXNA1	complex	 	3	 	 	-0.169	4.33E-07	1.20E-03	26s Proteasome,AR,CCND1,CEBPB,ESR1,FOXO3,GSK3B,HIF1A,KRAS,MAPK1,Mek,MYC,NFE2L2,NFKBIA,NR3C1,NRP2,NRP2-PLXNA1,p70 S6k,PGR,PI3K (complex),PPARG,RAF1,RB1,SP1,TCF7L2	ADD3,ATP6V1F,BID,COG7,COX5B,CPNE1,DYNLT1,EIF3D,EIF3G,EPS15,FAM120A,GNAQ,HMGCL,HSPA2,LARS1,MANF,MECP2,MYCBP,NIT1,NPEPPS,NUCKS1,NUDT21,PABPC4,PCMT1,PLS1,PRDX2,PSMC2,RANBP2,RPS12,SCIN,SH3GLB1,SNRPD1,TCP1,TUBA4A,UBA1	35 (25)	23	 	 	 	 	PI3K (complex)	 	 	 	 	
HTR2A	G-protein coupled receptor	 	3	 	 	0.822	4.34E-07	1.60E-03	AR,BCL6,CEBPB,CTNNB1,DDIT3,EGF,EGFR,EPAS1,ESR1,FOXO3,G protein,GSK3B,HIF1A,HSF1,HTR2A,JAK2,KRAS,Mapk,MITF,MKNK1,MYC,NEDD9,NFE2L2,ODC1,PGR,PPARG,PPP1R1B,RAF1,RB1,RUNX2,STAT4,tamoxifen,TP53,WBP2	ALCAM,ATP6V1F,CASP3,COG7,COX5B,CPNE1,CSNK2B,DYNLT1,EIF3D,EIF3G,ENAH,EPS15,GNAQ,HMGCL,HSPA2,IFT140,LARS1,MACROH2A2,MANF,MBP,MYCBP,NIT1,NPEPPS,NUCKS1,NUDT21,PCMT1,PDAP1,RANBP2,RPS12,SCIN,SEPTIN2,SH3GLB1,SNRPD1,SPA17,TCP1,TUBA4A,UBA1	37 (34)	30	GRK5,pergolide	dexfenfluramine,DNM1,fluoxetine,quetiapine,venlafaxine	 	EGFR,Mapk	 	 	 	 	 	
riboflavin	chemical - endogenous mammalian	 	3	 	 	-0.667	4.38E-07	2.20E-03	APP,CXCL8,EGF,EGFR,ESR1,FOXO3,GSK3B,HIF1A,HSF1,MAPK1,Mmp,MMP2,MMP3,MMP9,MTOR,MYC,NR3C1,p70 S6k,riboflavin,RICTOR,TGFB1,TNF,TP53,VEGFA	ALCAM,ATP6V1F,CASP3,CLIC1,COG7,COX5B,CPNE1,CSTF3,EIF3D,EIF3G,ENAH,FAM120A,GNAQ,HMGCL,LARS1,MACROH2A2,MANF,MBP,MECP2,MLF1,MTPN,NIT1,NPEPPS,NUCKS1,NUDT21,PABPC4,PLS1,PSMC2,RANBP2,RBM8A,RPS12,SCIN,SH3GLB1,SNRPD1,TCP1,TUBA4A	36 (24)	20	 	 	 	CSNK1A1,EP300	MTOR	 	 	 	 	
EPAS1	transcription regulator	 	3	 	 	0.000	4.41E-07	1.70E-03	Akt,AR,ATF4,CEBPB,CREBBP,CTNNB1,EGFR,EPAS1,ERK1/2,ESR1,F2,FOXO3,GATA1,HIF1A,HSF1,IGF1R,KRAS,mir-22,MKNK1,MTORC1,MYC,NEDD9,NFAT5,NR1I3,ODC1,PDX1,PGR,POU5F1,PPARA,PPARGC1A,PTEN,RB1,RICTOR,RUNX2,STAT6,TCF7L2,WBP2	ALCAM,BID,CASP3,CLIC1,COG7,CORO7/CORO7-PAM16,COX5B,CPNE1,CSNK2B,CSTF3,DFFA,DYNLT1,EIF3D,EIF3G,EPS15,HADHB,HMGCL,HSPA2,IPO5,KYAT3,LARS1,MANF,MYCBP,NIT1,NUCKS1,NUDT21,PCMT1,PDAP1,PLS1,PML,PRDX2,PSMC2,RANBP2,RPS12,SEPTIN2,SNRPD1,SPA17,TCP1,TUBA4A,UBA1	40 (37)	34	EGF,FOS,Mapk,MTOR,PFKFB3	HIF3A,SIRT7	 	ARG2,Collagen type IV,EGFR,HSPA5,L1CAM,MMP13,MYC,NDRG1,NEK8,NEU3,POU5F1,PTPRZ1,SOX2,TNFRSF11B,TNFSF15	APLN,CCR5	 	 	 	 	
ER-α-Estradiol	complex	 	3	 	 	1.000	4.57E-07	1.00E-03	26s Proteasome,APP,AR,beta-estradiol,CEBPB,Clathrin,EGFR,ER-α-Estradiol,ERN1,ESR1,FOXO3,GATA1,GSK3B,HDAC5,HIF1A,HSF1,IGF1R,IRF4,KRAS,MKNK1,MYC,NEDD9,NFE2L2,NR1I3,p70 S6k,PGR,PI3K (complex),RAF1,RB1,RET,SRC,STAT4,tamoxifen,WBP2	AKAP9,CASP3,CKAP5,CLIC1,COG7,CORO7/CORO7-PAM16,COX5B,CPNE1,DYNLT1,EIF3D,EIF3G,EPS15,ERLEC1,HMGCL,HSPA2,IFT140,IPO5,LARS1,MANF,MBP,NIT1,NUCKS1,NUDT21,PABPC4,PCMT1,PDAP1,PRDX2,PSMC2,SCIN,SEPTIN2,SH3GLB1,SNRPD1,SPA17,TCP1,TUBA4A,UBA1	36 (34)	31	 	 	 	EGFR,PI3K (complex)	 	 	 	 	 	
CEBPD	transcription regulator	 	3	 	 	-1.061	4.84E-07	4.00E-04	APP,AR,CEBPD,CREBBP,CTNNB1,ESR1,GATA1,GSK3B,HIF1A,HNF4A,MYC,MYOD1,NFE2L2,NR3C1,NR3C2,PGR,PPARA,PPARG,PPARGC1A,progesterone,RB1,SP1,TFAP2A,VEGFA,XBP1	ALCAM,ATP6V1F,BID,CLIC1,COG7,COX5B,CPNE1,EIF3D,EIF3G,ENAH,ERLEC1,HADHB,HMGCL,HSPA2,IPO5,KYAT3,MANF,MBP,MECP2,MLF1,MYCBP,NIT1,NPEPPS,NUCKS1,NUDT21,PCMT1,PLS1,RANBP2,SCIN,SH3GLB1,SNRPD1,TUBA4A	32 (25)	25	8-chlorophenylthio-adenosine 3',5'-cyclic monophosphate,EGF,GPER1,IFNG,Ins1,prednisolone	EIF4EBP1,EIF4EBP2,NCSTN,paraquat,PIAS2	 	CREBBP,FOS,MMP13,MMP8	BIRC5,PAX3,SNAI2	 	 	 	 	
PLAA	other	0.088	3	 	 	0.493	5.06E-07	2.80E-03	AR,BCL6,CEBPB,Cpla2,CSF2,CXCL8,DDIT3,EGFR,EPAS1,ESR1,FOXO3,HIF1A,HNF4A,HSF1,IRF4,Mapk,MAPK1,MITF,MKNK1,MYC,NFE2L2,NFkB (complex),NFKB1,PGR,PLA2,PLA2G10,PLA2R1,PLAA,RB1,RELA,RUNX2,SP1,STAT4,tamoxifen,TP53	ALCAM,ATP6V1F,BID,CASP3,COG7,COX5B,CPNE1,CSNK2B,DYNLT1,EIF3D,EIF3G,ENAH,EPS15,GNAQ,HMGCL,HSPA2,IFT140,LARS1,MACROH2A2,MANF,MECP2,MTPN,MYCBP,NIT1,NUCKS1,NUDT21,OAS2,PCMT1,PLS1,PRDX2,RANBP2,RBBP9,RPS12,SCIN,SH3GLB1,SNRPD1,TCP1	37 (35)	30	 	 	 	Mapk	 	 	 	 	 	
